country,Country_code,source,rti_isco1d1,rti_isco1d2,rti_isco1d3,rti_isco1d4,rti_isco1d5,rti_isco1d6,rti_isco1d7,rti_isco1d8,rti_isco1d9,rti_isco2d11,rti_isco2d12,rti_isco2d13,rti_isco2d14,rti_isco2d21,rti_isco2d22,rti_isco2d23,rti_isco2d24,rti_isco2d25,rti_isco2d26,rti_isco2d31,rti_isco2d32,rti_isco2d33,rti_isco2d34,rti_isco2d35,rti_isco2d41,rti_isco2d42,rti_isco2d43,rti_isco2d44,rti_isco2d51,rti_isco2d52,rti_isco2d53,rti_isco2d54,rti_isco2d71,rti_isco2d72,rti_isco2d73,rti_isco2d74,rti_isco2d75,rti_isco2d81,rti_isco2d82,rti_isco2d83,rti_isco2d91,rti_isco2d92,rti_isco2d93,rti_isco2d94,rti_isco2d95,rti_isco2d96,onet03_rti_isco1d1,onet03_rti_isco1d2,onet03_rti_isco1d3,onet03_rti_isco1d4,onet03_rti_isco1d5,onet03_rti_isco1d6,onet03_rti_isco1d7,onet03_rti_isco1d8,onet03_rti_isco1d9,onet03_rti_isco2d11,onet03_rti_isco2d12,onet03_rti_isco2d13,onet03_rti_isco2d14,onet03_rti_isco2d21,onet03_rti_isco2d22,onet03_rti_isco2d23,onet03_rti_isco2d24,onet03_rti_isco2d25,onet03_rti_isco2d26,onet03_rti_isco2d31,onet03_rti_isco2d32,onet03_rti_isco2d33,onet03_rti_isco2d34,onet03_rti_isco2d35,onet03_rti_isco2d41,onet03_rti_isco2d42,onet03_rti_isco2d43,onet03_rti_isco2d44,onet03_rti_isco2d51,onet03_rti_isco2d52,onet03_rti_isco2d53,onet03_rti_isco2d54,onet03_rti_isco2d71,onet03_rti_isco2d72,onet03_rti_isco2d73,onet03_rti_isco2d74,onet03_rti_isco2d75,onet03_rti_isco2d81,onet03_rti_isco2d82,onet03_rti_isco2d83,onet03_rti_isco2d91,onet03_rti_isco2d92,onet03_rti_isco2d93,onet03_rti_isco2d94,onet03_rti_isco2d95,onet03_rti_isco2d96,onet17_rti_isco1d1,onet17_rti_isco1d2,onet17_rti_isco1d3,onet17_rti_isco1d4,onet17_rti_isco1d5,onet17_rti_isco1d6,onet17_rti_isco1d7,onet17_rti_isco1d8,onet17_rti_isco1d9,onet17_rti_isco2d11,onet17_rti_isco2d12,onet17_rti_isco2d13,onet17_rti_isco2d14,onet17_rti_isco2d21,onet17_rti_isco2d22,onet17_rti_isco2d23,onet17_rti_isco2d24,onet17_rti_isco2d25,onet17_rti_isco2d26,onet17_rti_isco2d31,onet17_rti_isco2d32,onet17_rti_isco2d33,onet17_rti_isco2d34,onet17_rti_isco2d35,onet17_rti_isco2d41,onet17_rti_isco2d42,onet17_rti_isco2d43,onet17_rti_isco2d44,onet17_rti_isco2d51,onet17_rti_isco2d52,onet17_rti_isco2d53,onet17_rti_isco2d54,onet17_rti_isco2d71,onet17_rti_isco2d72,onet17_rti_isco2d73,onet17_rti_isco2d74,onet17_rti_isco2d75,onet17_rti_isco2d81,onet17_rti_isco2d82,onet17_rti_isco2d83,onet17_rti_isco2d91,onet17_rti_isco2d92,onet17_rti_isco2d93,onet17_rti_isco2d94,onet17_rti_isco2d95,onet17_rti_isco2d96
"Albania","ALB","predicted",-.5898758,-.5363857,-.1976456,.0988853,.511353,.6924446,.5007078,.801777,1.024431,-.7834541,-.7845072,-.6602687,-.4051158,-.5532178,-.2844615,-.5830377,-.5341474,-.9286823,-.5376502,-.2358101,.1447978,-.188123,-.1824167,-.368024,.0608386,.1497216,.0803463,.1356565,.4841093,.4904304,.4719306,.3260247,.4321956,.3848512,.3389074,.1698662,.4895403,.7540479,.7810479,.8204427,1.141657,1.046234,1.045059,1.184463,.8264694,1.028605,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"United Arab Emirates","ARE","predicted",-.895753,-.7248566,-.3286646,.2021297,.3330038,.2641239,.3846936,.7747984,.8871132,-1.026777,-1.02783,-.9035915,-.6484386,-.7357358,-.4669794,-.7655557,-.7166653,-1.1112,-.7201681,-.4194473,-.0388393,-.3717601,-.3660538,-.5516612,.1646153,.2534983,.184123,.2394332,.3332633,.3395844,.3210846,.1751787,.4060575,.3587131,.3127693,.143728,.4634022,.6619637,.6889637,.7283585,.95473,.8593073,.8581328,.9975367,.6395427,.841678,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Argentina","ARG","predicted",-.6294627,-.5092952,-.1602883,.2103912,.5217007,.5517377,.3552797,.6074035,.9685186,-.7947712,-.7958242,-.6715858,-.4164329,-.5339784,-.265222,-.5637983,-.5149079,-.9094429,-.5184107,-.2259747,.1546333,-.1782876,-.1725813,-.3581886,.1704283,.2593113,.189936,.2452462,.5114639,.5177851,.4992853,.3533793,.3140494,.2667049,.2207611,.0517199,.3713941,.5400351,.5670351,.6064299,1.049486,.9540629,.9528884,1.092292,.7342982,.9364335,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Armenia","ARM","survey",-.4371006,-.3104195,.0175967,.2993063,.6916326,.70344,.5118685,.7552332,1.294442,-.6334306,-.6344836,-.5102451,-.2550923,-.3059139,-.0371576,-.3357338,-.2868434,-.6813784,-.2903463,-.0010805,.3795275,.0466067,.052313,-.1332944,.2816339,.3705168,.3011415,.3564518,.6997468,.706068,.6875682,.5416622,.4597415,.412397,.3664532,.197412,.5170861,.7661061,.7931061,.8325009,1.366583,1.271161,1.269986,1.40939,1.051396,1.253531,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Australia","AUS","predicted",-.7921337,-.5627429,-.1676565,.3552965,.4639919,.265091,.395744,.7861303,.9600032,-.9338312,-.9348843,-.8106458,-.5554929,-.5360515,-.2672951,-.5658714,-.516981,-.911516,-.5204839,-.224279,.1563289,-.1765919,-.1708856,-.3564929,.3448903,.4337733,.3643979,.4197082,.4983135,.5046346,.4861348,.3402289,.4265171,.3791726,.3332288,.1641876,.4838617,.7432873,.7702873,.8096821,1.03272,.9372974,.9361229,1.075527,.7175328,.9196681,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Austria","AUT","survey",-.7950442,-.5822167,-.1913176,.3223384,.4488506,.284889,.5007637,.9090614,1.093792,-.9349461,-.9359992,-.8117607,-.5566078,-.5687836,-.3000273,-.5986035,-.5497132,-.9442481,-.553216,-.257553,.1230549,-.2098659,-.2041596,-.3897669,.3035936,.3924766,.3231013,.3784116,.4736721,.4799932,.4614934,.3155874,.5379567,.4906122,.4446684,.2756272,.5953013,.8464718,.8734719,.9128667,1.14717,1.051748,1.050573,1.189977,.8319831,1.034118,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Azerbaijan","AZE","predicted",-.6694254,-.5676429,-.2084994,.1598706,.4788423,.5580893,.3020969,.5631589,1.021084,-.8494685,-.8505215,-.726283,-.4711301,-.5664942,-.2977378,-.5963141,-.5474237,-.9419587,-.5509265,-.2481466,.1324614,-.2004595,-.1947532,-.3803605,.132039,.2209219,.1515466,.2068569,.469523,.4758441,.4573443,.3114384,.2476302,.2002858,.154342,-.0146992,.3049749,.5225373,.5495373,.5889321,1.107791,1.012369,1.011194,1.150598,.792604,.9947393,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Belgium","BEL","survey",-.8273576,-.6519638,-.2605339,.2380641,.396188,.3181626,.5318994,.9511319,1.17057,-.9741345,-.9751875,-.850949,-.5957962,-.6416613,-.3729049,-.6714812,-.6225908,-1.017126,-.6260936,-.3243458,.0562622,-.2766586,-.2709523,-.4565597,.2145844,.3034674,.2340921,.2894024,.4070718,.4133929,.3948931,.2489871,.5592151,.5118706,.4659268,.2968856,.6165597,.8780432,.9050432,.944438,1.21955,1.124128,1.122953,1.262357,.9043629,1.106498,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Bangladesh","BGD","predicted",-.1807695,-.2259624,.0199387,.0708244,.7777532,1.141044,.5541753,.6095695,1.118862,-.3936457,-.3946988,-.2704603,-.0153074,-.3436315,-.0748751,-.3734514,-.324561,-.719096,-.3280638,-.0541685,.3264394,-.0064814,-.0007751,-.1863824,-.0162673,.0726157,.0032404,.0585507,.7027012,.7090223,.6905225,.5446166,.4042283,.3568838,.31094,.1418988,.4615729,.5258059,.552806,.5922008,1.220983,1.125561,1.124386,1.26379,.9057961,1.107931,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Bulgaria","BGR","predicted",-.5167456,-.3316886,.0100368,.3790221,.6617979,.5418592,.7570226,1.139521,1.216241,-.6798857,-.6809387,-.5567003,-.3015474,-.3423153,-.0735589,-.3721352,-.3232448,-.7177798,-.3267476,-.045516,.3350919,.0021712,.0078774,-.1777299,.3537475,.4426306,.3732553,.4285655,.6805359,.686857,.6683572,.5224513,.7707061,.7233616,.6774178,.5083766,.8280508,1.104788,1.131788,1.171183,1.290741,1.195318,1.194143,1.333547,.9755533,1.177689,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Bahrain","BHR","predicted",-.9424862,-.8799245,-.4890711,-.0232652,.220017,.3975183,.1848344,.5108562,.6750954,-1.097936,-1.098989,-.974751,-.7195981,-.8997788,-.6310224,-.9295987,-.8807083,-1.275243,-.8842111,-.5680262,-.1874182,-.5203391,-.5146328,-.7002401,-.0730368,.0158462,-.0535291,.0017811,.181689,.1880101,.1695103,.0236044,.1376011,.0902566,.0443128,-.1247284,.1949458,.3852183,.4122183,.4516131,.7879085,.6924858,.6913113,.8307152,.4727212,.6748565,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Belarus","BLR","predicted",-.5178629,-.3011911,.0473378,.4391561,.6839435,.4956576,.6657685,1.020051,1.25753,-.6790959,-.6801489,-.5559105,-.3007576,-.2959104,-.027154,-.3257303,-.2768399,-.6713749,-.2803428,.0000887,.3806967,.0477758,.0534821,-.1321252,.424386,.5132689,.4438936,.4992039,.7175986,.7239196,.7054198,.5595139,.6847246,.6373802,.5914364,.4223952,.7420693,1.006199,1.033199,1.072594,1.315611,1.220188,1.219013,1.358417,1.000423,1.202559,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Bolivia","BOL","survey",-.3710115,-.3232163,-.0253296,.1740493,.687704,.8633782,.531526,.7156392,1.147139,-.5699062,-.5709592,-.4467207,-.1915678,-.3749539,-.1061976,-.4047738,-.3558834,-.7504184,-.3593863,-.0748272,.3057807,-.0271401,-.0214338,-.2070411,.1228806,.2117636,.1423883,.1976985,.6556962,.6620172,.6435174,.4976115,.4408992,.3935547,.3476109,.1785697,.4982439,.6712371,.6982371,.7376319,1.240894,1.145471,1.144297,1.283701,.9257066,1.127842,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Brazil","BRA","predicted",-.5937419,-.5521581,-.2253223,.0739195,.4941952,.6920994,.289758,.4649536,.8620887,-.7660748,-.7671278,-.6428894,-.3877365,-.6181357,-.3493793,-.6479556,-.5990652,-.9936002,-.6025681,-.3100677,.0705403,-.2623805,-.2566742,-.4422816,.0078582,.0967412,.0273659,.0826762,.4475376,.4538587,.4353589,.289453,.2041773,.1568328,.110889,-.0581522,.261522,.3566451,.3836451,.4230399,.9559551,.8605325,.859358,.9987619,.6407679,.8429031,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Brunei Darussalam","BRN","predicted",-.7407921,-.502407,-.1348199,.3914654,.5024198,.2614873,.5494999,.9400585,.6393903,-.8397462,-.8407992,-.7165607,-.4614078,-.5656107,-.2968543,-.5954306,-.5465402,-.9410752,-.550043,-.2779851,.1026229,-.230298,-.2245917,-.410199,.3332334,.4221165,.3527412,.4080514,.5130469,.5193681,.5008682,.3549623,.6056803,.5583358,.512392,.3433508,.663025,.7877212,.8147212,.854116,.725453,.6300303,.6288558,.7682597,.4102657,.6124009,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
"Botswana","BWA","predicted",-.2938289,-.0663769,.2317844,.5471671,.8703058,.6295047,.7549897,.993531,1.212378,-.4335473,-.4346004,-.3103619,-.055209,-.1405505,.1282058,-.1703704,-.1214801,-.5160151,-.1249829,.125437,.506045,.1731242,.1788305,-.0067769,.4956209,.5845039,.5151286,.5704389,.8904834,.8968045,.8783047,.7323988,.7717083,.7243638,.67842,.5093788,.8290529,.9239014,.9509014,.9902962,1.247527,1.152105,1.15093,1.290334,.9323401,1.134475,-1.267832,-.9455635,-.4759149,.3019599,.159162,.3016534,.9236709,.7435676,1.59254,-1.712617,-1.100668,-1.122296,-1.383549,-.7478555,-.6287771,-1.293431,-.9039825,-.8244993,-.8900198,-.2257842,.1121093,-.6764677,-.7204058,-.4744197,.054614,.3633069,.4166918,.5235649,.1022116,.3641876,-.33235,.109267,1.264238,.9806497,.7433146,.2241542,.911518,1.715132,1.377838,.0298795,1.568943,.493478,2.063136,1.418736,-1.195165,1.228815,-1.498639,-1.301307,-.4010551,.4250427,.1580622,.4536196,.2450168,.3083102,.8921336,-1.760238,-1.606629,-1.484379,-.7093416,-1.289143,-1.10409,-1.805725,-1.19535,-.5603455,-1.101163,-.3385921,-.2181016,-.4853693,-.5069203,-.046381,.5778664,.0617054,.5825318,.7072147,.4664617,.416629,-.7426435,-.4586205,-.070155,.4266838,.5510396,-.2717009,.762822,.8250458,.5189769,-.0276913,1.798615,1.239785,.6116927,.305837,-2.631002,.9719114
